trial_number,params,value,state
0,"{'boosting_type': 'gbdt', 'learning_rate': 0.010307167628787615, 'num_leaves': 75.0, 'feature_fraction': 0.5637756311912281, 'reg_lambda': 0.02988130896400859, 'n_estimators': 199.0, 'class_weight': 'balanced', 'min_data_in_leaf': 735.0}",0.5,1
1,"{'boosting_type': 'gbdt', 'learning_rate': 0.01149016949245986, 'num_leaves': 82.0, 'feature_fraction': 0.7129039303803383, 'reg_lambda': 0.028051346256149825, 'n_estimators': 138.0, 'class_weight': 'balanced', 'min_data_in_leaf': 480.0}",0.5,1
2,"{'boosting_type': 'gbdt', 'learning_rate': 0.026098405572527846, 'num_leaves': 132.0, 'feature_fraction': 0.10734413991520587, 'reg_lambda': 0.0445429878549739, 'n_estimators': 154.0, 'class_weight': 'balanced', 'min_data_in_leaf': 270.0}",0.8403644038849709,1
3,"{'boosting_type': 'gbdt', 'learning_rate': 0.17097959958769346, 'num_leaves': 132.0, 'feature_fraction': 0.9335071106447732, 'reg_lambda': 0.018149477447173223, 'n_estimators': 100.0, 'class_weight': 'balanced', 'min_data_in_leaf': 475.0}",0.5,1
4,"{'boosting_type': 'gbdt', 'learning_rate': 0.054134876930277694, 'num_leaves': 87.0, 'feature_fraction': 0.6535922354928935, 'reg_lambda': 0.037164354486907226, 'n_estimators': 154.0, 'class_weight': 'balanced', 'min_data_in_leaf': 285.0}",0.8758553812213042,1
